"data","casos","predito","ic.low","ic.upp"
2020-01-30,0,NA,NA,NA
2020-01-31,0,NA,NA,NA
2020-02-01,0,NA,NA,NA
2020-02-02,0,NA,NA,NA
2020-02-03,0,NA,NA,NA
2020-02-04,0,NA,NA,NA
2020-02-05,0,NA,NA,NA
2020-02-06,0,NA,NA,NA
2020-02-07,0,NA,NA,NA
2020-02-08,0,NA,NA,NA
2020-02-09,0,NA,NA,NA
2020-02-10,0,NA,NA,NA
2020-02-11,0,NA,NA,NA
2020-02-12,0,NA,NA,NA
2020-02-13,0,NA,NA,NA
2020-02-14,0,NA,NA,NA
2020-02-15,0,NA,NA,NA
2020-02-16,0,NA,NA,NA
2020-02-17,0,NA,NA,NA
2020-02-18,0,NA,NA,NA
2020-02-19,0,NA,NA,NA
2020-02-20,0,NA,NA,NA
2020-02-21,0,NA,NA,NA
2020-02-22,0,NA,NA,NA
2020-02-23,0,NA,NA,NA
2020-02-24,0,NA,NA,NA
2020-02-25,0,NA,NA,NA
2020-02-26,1,NA,NA,NA
2020-02-27,1,NA,NA,NA
2020-02-28,1,NA,NA,NA
2020-02-29,2,NA,NA,NA
2020-03-01,2,NA,NA,NA
2020-03-02,2,NA,NA,NA
2020-03-03,2,NA,NA,NA
2020-03-04,3,NA,NA,NA
2020-03-05,6,NA,NA,NA
2020-03-06,10,NA,NA,NA
2020-03-07,13,NA,NA,NA
2020-03-08,16,NA,NA,NA
2020-03-09,16,NA,NA,NA
2020-03-10,19,NA,NA,NA
2020-03-11,30,NA,NA,NA
2020-03-12,42,NA,NA,NA
2020-03-13,56,NA,NA,NA
2020-03-14,65,NA,NA,NA
2020-03-15,136,NA,NA,NA
2020-03-16,152,NA,NA,NA
2020-03-17,164,NA,NA,NA
2020-03-18,240,NA,NA,NA
2020-03-19,286,NA,NA,NA
2020-03-20,396,NA,NA,NA
2020-03-21,459,NA,NA,NA
2020-03-22,631,NA,NA,NA
2020-03-23,745,NA,NA,NA
2020-03-24,810,NA,NA,NA
2020-03-25,862,NA,NA,NA
2020-03-26,1052,NA,NA,NA
2020-03-27,1223,NA,NA,NA
2020-03-28,1406,NA,NA,NA
2020-03-29,1451,NA,NA,NA
2020-03-30,1517,NA,NA,NA
2020-03-31,2339,NA,NA,NA
2020-04-01,2981,NA,NA,NA
2020-04-02,3506,NA,NA,NA
2020-04-03,4048,NA,NA,NA
2020-04-04,4466,NA,NA,NA
2020-04-05,5391.04279218263,5391.04279218263,5215.68102672347,5572.30057555917
2020-04-06,6295.03870992505,6295.03870992505,6029.78476374766,6571.96134059442
2020-04-07,7350.62099987732,7350.62099987732,6968.42662115313,7753.77743374964
2020-04-08,8583.20839213405,8583.20839213405,8051.67653778398,9149.82935008422
2020-04-09,10022.4819513929,10022.4819513929,9302.31452832803,10798.4033608087
